Phase,Phase Name,Step,Step Title,Owner,Validator,Depends On,Acceptance,Feature Flag,Status,% Complete,Exposure Cohort,Validator Sign-off,Gap Report,Deployed Version,Deploy Date,Task ID,Last Updated,Notes/Blockers
2,Phase 2 Node Build,2.4,"Imaging progress monitoring: iDRAC screenshot capture + boot-phase heuristics rendered in run timeline",claude-agent,eng-reviewer,2.3,"UI shows periodic console screenshots and inferred imaging phase per node; stalled-node detection raises operator alert",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-018,2026-07-02,
2,Phase 2 Node Build,2.5,"Stages 30/32/35 via WinRM: driver install, time/NTP, NIC IPs + Port1..4 names, server rename per node plan",claude-agent,eng-reviewer,2.4,"All nodes reach configured mgmt IPs with correct NIC names/hostnames and synced time; WinRM failures surfaced verbatim with retry",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-019,2026-07-02,Requires WinRM reach from pod to node mgmt IPs
2,Phase 2 Node Build,2.6,"Node-build UI panel: per-node stage grid, retry-single-node action, intervention gate before Phase 3",claude-agent,eng-reviewer,"0.7,2.5","Grid shows every node x stage state live; retry re-runs one node without disturbing others; gate pause verified",AZLC_NODE_BUILD_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-020,2026-07-02,
3,Phase 3 Arc & Azure Prep,3.1,"Arc onboarding: onboard-node.ps1 module chain per node + install/verify the 4 AzureEdge extensions",claude-agent,eng-reviewer,2.6,"All nodes show Connected in Azure Arc with 4 extensions Succeeded; per-node extension status in UI; ext failures verbatim",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-021,2026-07-02,
3,Phase 3 Arc & Azure Prep,3.2,"Azure prep: service principal creation/reuse + resource provider registration, idempotent re-run safe",claude-agent,eng-reviewer,"0.4,3.1","Re-running the stage on an already-prepped subscription is a no-op success; SP secrets flow via KV/env only; all RPs Registered",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-022,2026-07-02,az CLI + SP creds in image/secret
3,Phase 3 Arc & Azure Prep,3.3,"Resource group + region/zone setup per run: RG create, region selection from wizard, tagging",claude-agent,eng-reviewer,3.2,"RG exists in selected region with run-id tag; two parallel runs create distinct RGs without collision",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-023,2026-07-02,
3,Phase 3 Arc & Azure Prep,3.4,"Key Vault creation + the 3 deployment secrets seeded from k8s Secret inputs",claude-agent,eng-reviewer,3.3,"KV exists with all 3 secrets present and correct names; secret values never logged; access policy scoped to deployment SP",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-024,2026-07-02,
3,Phase 3 Arc & Azure Prep,3.5,"Witness storage account + assign-deploy-permissions (proven script) wired as engine stage",claude-agent,eng-reviewer,3.4,"Witness storage created; permission assignment stage exits green and post-check confirms all role assignments present",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-025,2026-07-02,
3,Phase 3 Arc & Azure Prep,3.6,"ACR prep + gen-arm-parameters.py integration: ARM parameter artifact generated, validated, stored per run",claude-agent,eng-reviewer,3.5,"Parameter file generated from run inputs matches schema; stored as run artifact and downloadable; intervention gate before Phase 4",AZLC_ARC_PREP_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-026,2026-07-02,
4,Phase 4 Validation,4.1,"edge validate execution as engine stage with parsed pass/fail results per check in UI",claude-agent,eng-reviewer,3.6,"Validation checks render as itemized pass/fail with raw output expandable; failed run can be halted or healed without restart",AZLC_VALIDATION_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-027,2026-07-02,
4,Phase 4 Validation,4.2,"deploymentSettings Validate / ARM template Validate action with long-poll status tracking",claude-agent,eng-reviewer,4.1,"Validate call submitted and polled to terminal state; result persisted on run; timeout handled without false failure",AZLC_VALIDATION_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-028,2026-07-02,
4,Phase 4 Validation,4.3,"Heal paths as one-click gated remediations (ext-sync etc.) with automatic re-validate loop",claude-agent,eng-reviewer,4.2,"Known heal action runs from UI behind capability check and re-triggers validation; heal history logged on the run",AZLC_VALIDATION_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-029,2026-07-02,Heal catalog config-driven for new MSFT-side issues
4,Phase 4 Validation,4.4,"Verbatim RP error surfacing + known-issue annotation layer (e.g. Unsupported OS Version inventory gate) + halt-run-at-any-phase control",claude-agent,eng-reviewer,4.2,"RP error JSON shown untruncated verbatim; matching known-issue shows explanation banner without masking the raw error; halt works in every phase",AZLC_VALIDATION_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-030,2026-07-02,Open MSFT gate reads processorType/osProfile from edge inventory
5,Phase 5 Deploy Monitoring & Release,5.1,"Cluster Deploy trigger (deploymentSettings Deploy, ~2.5-3h ECE) with restart-safe long-run resume",claude-agent,eng-reviewer,4.4,"Deploy submits and survives console pod restart (run state + polling resume from DB); final gate before submit enforced",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-031,2026-07-02,
5,Phase 5 Deploy Monitoring & Release,5.2,"track-deployment integration: live ECE action-plan step tracking streamed to UI via SSE",claude-agent,eng-reviewer,5.1,"UI shows current ECE step name/progress/elapsed matching track-deployment output within one poll interval; failures verbatim",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-032,2026-07-02,
5,Phase 5 Deploy Monitoring & Release,5.3,"Post-deploy monitoring dashboard: cluster health, node status, Arc/extension state, recent alerts per deployed cluster",claude-agent,eng-reviewer,5.2,"Dashboard reflects real cluster state on refresh; multiple deployed clusters listed; no hardcoded cluster ids",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-033,2026-07-02,
5,Phase 5 Deploy Monitoring & Release,5.4,"Recovery hooks: recover/recover.sh + rebuild-cluster.sh one-shot exposed as capability-gated console actions",claude-agent,eng-reviewer,"0.7,5.2","Recovery action requires explicit gate approval; execution streams logs like any stage; audit trail records operator",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-034,2026-07-02,
5,Phase 5 Deploy Monitoring & Release,5.5,"Packaging: single Dockerfile (node 22, az CLI, wimlib, python+pycdlib, factory engine vendored) + k8s manifests for luca-capacity (Deployment, Service, Ingress, Secret, PVC)",claude-agent,eng-reviewer,"0.1,2.2","Image builds clean; pod runs on luca-capacity with iDRAC L2 reach, WinRM reach, and media-server reachability verified from a real iDRAC",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-035,2026-07-02,kubeconfig E:/tmp/luca-capacity.kubeconfig; cert-manager+ingress live
5,Phase 5 Deploy Monitoring & Release,5.6,"E2E test use case: full simulated run (mocked Redfish/az/WinRM) end-to-end P1-P5 + 2-run concurrency test + gate/halt tests in CI",claude-agent,eng-reviewer,"5.4,5.5","Simulated pipeline completes all phases green in CI; concurrency and gate/halt/resume tests pass; pre-deploy-check clean",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-036,2026-07-02,Dev-testing mandate applies
5,Phase 5 Deploy Monitoring & Release,5.7,"Release closure: change-management entry, release-tracker register, image build, deploy to luca-capacity in deploy window, record-deploy, verify live on azurestack.nyc admin path, tracker updated",claude-agent,eng-reviewer,5.6,"Console live behind auth with flags default-off except AZLC_CONSOLE_ENABLED; release registered + recorded; this tracker reflects released state",AZLC_DEPLOY_ENABLED,todo,0,internal-ops,,,,,T-AZLC-CONSOLE-037,2026-07-02,Formation-suite closure requirement (>40h mandate)
